"rownum"	"y"	"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"
1	1	-0.250158	0.136255	-0.24526	2.545476	-1.605124	0	-0.636771185208	-0.556711308365115	0.062579024964	-0.0334179013	0.00252963198678137	0
2	0	-0.448952	-0.198373	-0.089357	1.659471	-2.378828	0	-0.745022824392	0.783096477175459	0.201557898304	0.017726016161	-0.00780634397052112	0
3	1	-0.00314	-0.228346	-0.234557	1.590411	-2.225591	1	-0.00499389054	0.808254508126562	0.0000098596	0.053560152722	-0.0119063933191657	0.00071700644
4	0	0.145063	-0.242568	-0.093278	2.327481	-1.7964	1	0.337631376303	1.01419787949405	0.021043273969	0.022626257904	-0.0142725154642744	-0.035187641784
5	0	-0.071655	0.356458	-0.431533	1.075225	-1.948972	0	-0.077045247375	-0.746987474262965	0.005134439025	-0.153823390114	0.0452923753880239	0
6	0	-0.30264	0.29316	-0.331514	1.866711	-1.665665	0	-0.56494141704	-0.911526837528245	0.0915909696	-0.09718664424	0.025194987026496	0
7	1	-0.641703	-0.369325	-0.049389	2.079679	-1.496455	1	-1.334536253337	1.14939333546404	0.411782740209	0.018240592425	-0.0503762829362031	0.236996960475
8	1	0.082618	-0.146461	-0.38543	1.556529	-1.572945	1	0.128597312922	0.358585520362274	0.006825733924	0.05645046323	-0.00314170921017018	-0.012100314898
9	1	-0.152361	-0.411577	0.165486	2.545164	-1.743633	0	-0.387783732204	1.82650955670358	0.023213874321	-0.068110231422	-0.069719343944557	0
10	0	0.17367	0.471905	-0.106109	2.071614	-2.125996	1	0.35977720338	-2.0783843295084	0.0301612689	-0.050073367645	0.105090567338543	0.08195574135
11	0	-0.028311	0.477264	0.459119	2.488991	-1.699468	0	-0.070465824201	-2.01880789517487	0.000801512721	0.219120970416	0.108711635721376	0
12	0	-0.07954	-0.688331	0.330196	1.527118	-2.229474	0	-0.12146696572	2.34353982037015	0.0063266116	-0.227284142876	-0.326130928762169	0
13	0	-0.308078	-0.211072	0.039167	1.742133	-1.07095	0	-0.536712850374	0.393804911058067	0.094912054084	-0.008267057024	-0.00940355081784525	0
14	1	0.021271	-0.348423	0.232651	2.393362	-1.818665	0	0.050909203102	1.51658905032787	0.000452455441	-0.081060959373	-0.042298059853563	0
15	1	-0.379964	0.03418	-0.115347	2.409619	-2.361215	0	-0.915568473716	-0.194471503055765	0.144372641296	-0.00394256046	0.000039931550632	0
16	0	-0.487259	0.094189	0.043898	2.26982	-2.349617	1	-1.10599022338	-0.5023294961879	0.237421333081	0.004134708722	0.000835604092073269	-0.045894437951
17	1	-0.049615	0.833042	-0.009975	1.927117	-2.535745	1	-0.095613909955	-4.07080742898493	0.002461648225	-0.00830959395	0.57809697142231	-0.04133137883
18	0	-0.930698	-0.198099	-0.36379	2.349616	-1.29556	0	-2.186782911968	0.603026926764071	0.866198767204	0.07206643521	-0.0077740414107643	0
19	0	-0.190244	-0.240973	0.359073	1.567202	-1.869795	0	-0.298150777288	0.706134378370673	0.036192779536	-0.086526898029	-0.0139928169660473	0
20	0	0.361281	0.345353	-0.036562	1.861595	-1.919851	1	0.672558903195	-1.23428644942191	0.130523960961	-0.012626796386	0.041189801489302	0.124769477193
21	1	0.445186	0.382669	-0.188564	1.394362	-1.439444	0	0.620750441332	-0.768057251549949	0.198190574596	-0.072157597316	0.0560363506723243	0
22	0	0.15675	0.093882	-0.191165	2.024379	-1.677773	0	0.31732140825	-0.318865371314398	0.0245705625	-0.01794695253	0.000827459980924968	0
23	1	0.153152	0.507726	-0.059068	2.389347	-2.572592	0	0.365933271744	-3.12089778122758	0.023455535104	-0.029990359368	0.130884497787253	0
24	1	0.148197	-0.066808	-0.054078	1.736354	-1.7526	1	0.257322453738	0.203305697634883	0.021962350809	0.003612843024	-0.000298184738586112	-0.009900745176
25	1	-0.663538	-0.45629	-0.083231	1.717711	-2.003661	0	-1.139766521518	1.57041810228337	0.440282677444	0.03797747299	-0.094999835393189	0
26	0	0.286643	0.112545	0.467538	2.232722	-1.962713	0	0.639994132246	-0.49319385432569	0.082164209449	0.05261906421	0.00142553740227863	0
27	1	0.749757	0.269255	0.373919	2.343071	-1.558383	0	1.756733883747	-0.983158249331536	0.562135559049	0.100679560345	0.0195205176567564	0
28	0	0.123924	0.931936	0.517441	1.721013	-1.836062	1	0.213274815012	-2.94481205125066	0.015357157776	0.482221895776	0.809390803644154	0.115489236864
29	0	0.306579	0.074042	-0.29416	2.247946	-2.150777	1	0.689173036734	-0.357980523882378	0.093990683241	-0.02178019472	0.000405914367682088	0.022699722318
30	1	0.401777	0.047908	0.050139	1.753153	-2.061722	0	0.704376552881	-0.173164141956297	0.161424757729	0.002402059212	0.000109957314037312	0
31	0	0.168064	-0.364606	0.106139	2.265658	-2.090678	0	0.380775546112	1.72705160371883	0.028245508096	-0.038698916234	-0.048469822972257	0
32	1	0.043182	0.031844	0.002888	2.172684	-2.419957	1	0.093820840488	-0.1674294422575	0.001864685124	0.000091965472	0.000032291100459584	0.001375087608
33	0	0.166975	-0.082909	-0.242701	2.499611	-1.594776	0	0.417372546725	0.330501774380764	0.027880650625	0.020122097209	-0.000569908364215429	0
34	0	-0.198437	0.332142	-0.120313	1.767057	-1.759504	0	-0.350649489909	-1.03267725985778	0.039377242969	-0.039961000446	0.0366413435102073	0
35	0	0.432357	0.136317	0.23155	2.135215	-1.026911	1	0.923175151755	-0.298898983057004	0.186932575449	0.03156420135	0.00253308672736701	0.058937609169
